wav,text,speaker,phonemes
wavs/000000.wav,सर,S4258294400387536,sˈʌɾ
wavs/000001.wav,जी,S4258294400387536,ɟˈi
wavs/000002.wav,अच्छा तो आपको दो बाइक लेनी है या फिर ऐसे कुछ काम के लिए चाहिए रेंट पर,S4258294400387536,ˈʌcʰcʰaː tˈoː ˌaːpkˌoː dˈoː bˈaːɪk lˈeːni hɛː jˈaː pʰˈɪɾ ˈɛːseː kˈʊcʰ kˈaːm keː lˈɪeː cˈaːhɪˌeː ɾˈẽːʈ pˈʌɾ
wavs/000003.wav,हम्म,S4258294400387536,hˈʌmmə
wavs/000004.wav,क्या प्रोजेक्ट वर्क के लिए आए हैं,S4258294400387536,kːjaː pɾoːɟˈeːkʈ ʋˈʌɾk keː lˈɪeː ˈaːeː hɛ̃
wavs/000005.wav,अच्छा तो आपको न्यू बाइक चाहिए या वैसी पुरानी चलेगी,S4258294400387536,ˈʌcʰcʰaː tˈoː ˌaːpkˌoː njˈuː bˈaːɪk cˈaːhɪˌeː jˈaː ʋˈɛːsi pʊɾˈaːni cəlˈeːɡi
wavs/000006.wav,तो फिर उसी के हिसाब से चार्ज रहेगा,S4258294400387536,tˈoː pʰˈɪɾ ˈʊsi keː hɪsˈaːb seː cˈaːɾɟ ɾəhˈeːɡaː
wavs/000007.wav,जी आपको तो पहली बार ही आप एम पी के ही हैं या कहीं बाहर से हो,S4258294400387536,ɟˈi ˌaːpkˌoː tˈoː pˈʌhəlˌi bˈaːɾ hˈi ˌaːp ˈeːm pˈi keː hˈi hɛ̃ jˈaː kˈʌhĩ bˈaːhəɾ seː hoː
wavs/000008.wav,अच्छा अच्छा बाहर से हो तो आपको पहले तो यह कुछ मैं डाक्यूमेंट्स बताऊँगा वह सबमिट करने होंगे और आपका जैसे चार्ज है जैसे आपका जो है पेट्रोल वह आपका ही रहेगा आपको ही भरवाना पड़ेगा जितना भी आप यूज कर रहे हो जहाँ ले जा रहे हो कहाँ नहीं,S4258294400387536,ˈʌcʰcʰaː ˈʌcʰcʰaː bˈaːhəɾ seː hoː tˈoː ˌaːpkˌoː pˈʌhəlˌeː tˈoː jˌəh kˈʊcʰ mɛ̃ ɖˌaːkːjuːmˈẽːʈs bˌətaːˈunɡaː ʋˌəh sˈʌbmˌɪʈ kˈʌɾnˌeː hˈõɡeː ɔːɾ ˌaːpkˌaː ɟˈɛːseː cˈaːɾɟ hɛː ɟˈɛːseː ˌaːpkˌaː ɟˈoː hɛː pˈeːʈɾoːl ʋˌəh ˌaːpkˌaː hˈi ɾəhˈeːɡaː ˌaːpkˌoː hˈi bʰˌəɾʋˈaːnaː pər.ˈeːɡaː ɟˈɪtnˌaː bʰˈi ˌaːp jˈuːɟ kˈʌɾ ɾˌəheː hoː ɟˈʌhã lˈeː ɟˈaː ɾˌəheː hoː kˈʌhã nˈʌhĩ
wavs/000009.wav,तो मैं आपको कितने दिन के लिए चाहिए,S4258294400387536,tˈoː mɛ̃ ˌaːpkˌoː kˈɪtnˌeː dˈɪn keː lˈɪeː cˈaːhɪˌeː
wavs/000010.wav,एक महिना डेढ़ महिना लग सकता है तो मैं आपको बताऊँगा पाँच हज़ार रूपये देने पड़ेंगे आपको,S4258294400387536,ˈeːk mˈʌhɪnˌaː ɖˈeːr.h mˈʌhɪnˌaː lˈʌɡ sˈʌktˌaː hɛː tˈoː mɛ̃ ˌaːpkˌoː bˌətaːˈunɡaː pˈãnc həzˈaːɾ ɾˈuːpjˌeː dˈeːneː pər.ˈẽːɡeː ˌaːpkˌoː
wavs/000011.wav,एक्स्ट्रा चार्ज यह है देखो पाँच हज़ार रूपये तो लगेंगे आपको लेंगे एक महीने के लिए लेकिन अगर आप से कुछ टूट फूट होती है तो उसका अलग से एक्स्ट्रा चार्ज लगेगा और फिर कुछ स्क्रेच वग़ैरह आती है जो भी है,S4258294400387536,ˈeːksʈɾaː cˈaːɾɟ jˌəh hɛː dˈeːkʰoː pˈãnc həzˈaːɾ ɾˈuːpjˌeː tˈoː ləɡˈẽːɡeː ˌaːpkˌoː lˈẽːɡeː ˈeːk məhˈiːneː keː lˈɪeː lˈeːkɪn ˌʌɡəɾ ˌaːp seː kˈʊcʰ ʈˈuːʈ pʰˈuːʈ hˈoːti hɛː tˈoː ˌʊskˌaː ˈʌləɡ seː ˈeːksʈɾaː cˈaːɾɟ ləɡˈeːɡaː ɔːɾ pʰˈɪɾ kˈʊcʰ skɾˈeːc ʋəɣˈɛːɾəh ˈaːti hɛː ɟˈoː bʰˈi hɛː
wavs/000012.wav,वो आपका रहेगा बाक़ी मैं आपको कुछ डाक्यूमेंट्स हैं वह मेरे पास सबमिट करने होंगे जैसे आधार कार्ड दो पासपोर्ट साइज़ की फ़ोटो और आप जहाँ पर रहते हो आप वहाँ का डोमेस्टिक सर्टिफ़िकेट चाहिए मे को,S4258294400387536,ʋoː ˌaːpkˌaː ɾəhˈeːɡaː bˈaːqi mɛ̃ ˌaːpkˌoː kˈʊcʰ ɖˌaːkːjuːmˈẽːʈs hɛ̃ ʋˌəh mˌeːɾeː pˈaːs sˈʌbmˌɪʈ kˈʌɾnˌeː hˈõɡeː ɟˈɛːseː aːdʰˈaːɾ kˈaːɾɖ dˈoː pˌaːspˈoːɾʈ sˈaːɪz ki fˈoːʈoː ɔːɾ ˌaːp ɟˈʌhã pˈʌɾ ɾˈʌhətˌeː hoː ˌaːp ʋˈʌhã kaː ɖoːmˈeːsʈɪk sˌəɾʈɪfɪkˈeːʈ cˈaːhɪˌeː mˈeː koː
wavs/000013.wav,तो यह सब डाक्यूमेंट्स सब वहाँ पर लगेंगे आप ले जा सकते हो आप यह मेरा नंबर है कांटेक्ट कर लेना,S4258294400387536,tˈoː jˌəh sˈʌb ɖˌaːkːjuːmˈẽːʈs sˈʌb ʋˈʌhã pˈʌɾ ləɡˈẽːɡeː ˌaːp lˈeː ɟˈaː sˈʌktˌeː hoː ˌaːp jˌəh mˌeːɾaː nˈʌmbəɾ hɛː kãʈˈeːkʈ kˈʌɾ lˈeːnaː
wavs/000014.wav,जी है सिटी सेंटर,S4258294400387536,ɟˈi hɛː sˈɪʈi sˈẽːʈəɾ
wavs/000015.wav,जी मिल जाएगी मैं उसी का ही कंपनी का मालिक हूँ तो मेरे एम्प्लोई लगे हुए हैं मैं उन से कह दूँगा आपको मिल जाएगी,S4258294400387536,ɟˈi mˈɪl ɟaːˈeːɡi mɛ̃ ˈʊsi kaː hˈi kˈʌmpənˌi kaː mˈaːlɪk hũ tˈoː mˌeːɾeː ˈeːmploːˌi lˈʌɡeː hˈʊeː hɛ̃ mɛ̃ ˈʊn seː kˈʌh dˈũnɡaː ˌaːpkˌoː mˈɪl ɟaːˈeːɡi
wavs/000016.wav,सिटी सेंटर पर है जी जीवाजी यूनिवर्सिटी के जस्ट बग़ल में,S4258294400387536,sˈɪʈi sˈẽːʈəɾ pˈʌɾ hɛː ɟˈi ɟiʋˈaːɟi jˌuːnɪʋˈʌrsɪʈˌi keː ɟˈʌsʈ bˈʌɣəl mˈẽː
wavs/000017.wav,ठीक है ओके,S4258294400387536,ʈʰˈiːk hɛː ˈoːkeː
wavs/000018.wav,पाँच,S4258294400387536,pˈãnc
wavs/000019.wav,खुश,S4258294400387536,kʰˈʊʃ
wavs/000020.wav,क्या तुम मुझे पाव भाजी बनाने की विधि बता सकते हो,S4258294400387536,kːjaː tˌʊm mˌʊɟʰeː pˈaːʋ bʰˈaːɟi bənˈaːneː ki ʋˈɪdʰɪ bˈʌtaː sˈʌktˌeː hoː
wavs/000021.wav,या हो सकता है कि आप डर या ऊब को दूर करने के लिए खरीदारी करते हैं,S4258294400387536,jˈaː hoː sˈʌktˌaː hɛː kˈɪ ˌaːp ɖˈʌɾ jˈaː ˈub koː dˈuːɾ kˈʌɾnˌeː keː lˈɪeː kʰˌəɾidˈaːɾi kˈʌɾtˌeː hɛ̃
wavs/000022.wav,यह अधिकांश रागों का एक अभिन्न हिस्सा है क्योंकि यह स्वेच्छित नहीं बल्कि संरचना या पैमाने का एक अनिवार्य हिस्सा है,S4258294400387536,jˌəh ˌʌdʰɪkˈãʃ ɾˈaːɡõ kaː ˈeːk ʌbʰˈɪnnə hˈɪssaː hɛː kːjˈõkɪ jˌəh sʋˈeːcʰcʰɪt nˈʌhĩ bˈʌlkɪ sˈʌnɾəcnaː jˈaː pɛːmˈaːneː kaː ˈeːk ˌʌnɪʋˈaːrjə hˈɪssaː hɛː
wavs/000023.wav,मैं ढोकला कैसे बनाऊँ,S4258294400387536,mɛ̃ ɖʰˈoːklˌaː kˈɛːseː bənˈaːũ
wavs/000024.wav,जाओ,S4258294400387536,ɟˈaːoː
wavs/000025.wav,मेरे जम्मू एंड कश्मीर बैंक खाते की शेष राशि की जाँच करें और पुष्टि करें कि मुझे चार हज़ार रुपये की राशि प्राप्त हुई है,S4258294400387536,mˌeːɾeː ɟˈʌmmuː ˈẽːɖ kəʃmˈiːɾ bˈɛ̃k kʰˈaːteː ki ʃˈeːʂ ɾˈaːʃɪ ki ɟˈãnc kˈʌɾẽː ɔːɾ pˈʊʂʈɪ kˈʌɾẽː kˈɪ mˌʊɟʰeː cˈaːɾ həzˈaːɾ ɾˈʊpjˌeː ki ɾˈaːʃɪ pɾˈaːpt hˈʊi hɛː
wavs/000026.wav,दृश्य,S4258294400387536,dɾˈɪʃjə
wavs/000027.wav,बाएँ,S4258294400387536,bˈaːj
